25510.501	12.28	26661.394	12.82	30261.498	12.28	32882.363	12.13	33921.510	12.13:	34660.412	12.36	35375.481	12.28	36086.582	12.28	
25561.349	12.82	26683.273	12.76	30264.450	12.44:	32885.387	12.13	33923.454	12.36	34662.492	12.69	35390.428	12.21	36102.488	12.18
25650.267	12.69	26949.592	12.69	30267.530	12.44	32889.354	12.13	33925.435	12.19	34664.417	12.13	35391.435	12.13:	36108.474	13.12	
25809.527	12.44	26980.493	12.82	30321.327	12.21	32907.295	11.28:	33927.459	12.34	34665.474	12.32	35392.421	12.32	36113.519	12.21	
25811.535	12.44:	26986.421	12.69	30367.225	12.44	32911.321	12.18	33929.516	12.21	34682.349	12.28	35394.438	11.85	36130.416	12.18	
25828.561	12.76	27061.243	12.36	30373.262	12.36	32942.269	12.13	33947.422	12.19	34683.397	12.28	35397.394	12.34	36200.410	12.60	
25834.574	13.16	27062.234	12.57	30374.374	12.36	32946.277	12.13	33950.374	12.38	34709.330	11.83	35399.449	12.36	36227.317	12.21	
25837.533	13.26	27309.568	12.57	30376.265	12.25	33160.517	12.18	34220.512	11.88	34714.285	12.36	35400.408	12.36	36434.538	11.88	
25856.463	12.82	27311.560	12.28	30378.217	12.57	33178.456	12.13	34249.459	12.13	34718.333	12.28	35401.451	12.21	36452.337	12.21	
25857.528	13.07	27315.599	12.76	30721.337	12.60	33185.442	12.13	34251.475	12.44	34748.288	12.36	35509.267	12.21	36459.541	12.21	

25858.484	13.86L	27341.518	13.56	31001.478	12.44:	33187.449	12.13	34252.515	12.13	34768.258	12.21	35691.542	12.76	36482.431	12.21	
25859.514	13.46	27367.434	12.57	31028.444	12.18	33189.455	12.14:	34253.492	12.13	34958.524	12.91	35695.543	12.34	36485.486	12.21	
25862.499	12.76	27369.433	12.44	31076.226	12.60	33205.385	12.25	34272.494	12.13	34986.506	12.28	35698.547	11.94	36486.483	12.28	
25864.499	12.82	27394.388	12.60	32092.469	11.88	33212.404	11.94	34298.435	12.21	34987.488	12.36	35700.542	12.13	36486.522	12.18	
25885.424	12.44	27395.345	12.91	32172.341	12.28	33242.240	12.21	34334.384	12.21	34990.518	12.21:	35719.576	11.94	36541.367	12.21	
25885.508	12.57	27398.247	12.60	32175.408	12.34	33302.287	12.13	34392.290	12.13	35018.461	12.21	35731.531	12.21	36597.283	12.36	
25890.500	12.28:	29489.436	12.57	32178.347	12.28	33509.524	12.21	34599.526	12.21	35047.425	12.28	35747.458	12.18:	36598.289	12.36
26213.526	12.60	29493.500	12.69	32441.478	12.13	33514.526	12.21	34601.550	12.21	35048.401	12.28	35748.426	12.28	36599.285	12.28	
26221.588	12.60	29497.490	12.36	32445.483	12.18	33538.463	12.36	34603.505	12.13	35067.335	12.25	35757.482	11.85	36602.287	12.34	
26246.386	13.07	29500.524	12.57	32449.428	11.93:	33566.399	12.34	34605.494	11.88	35070.322	11.94	35758.484	12.21	36627.287	12.28	

26250.429	13.11	29642.965	12.44	32469.500	12.91	33568.445	12.25	34607.510	12.28	35128.260	12.28	35778.442	12.18	36788.525	12.28:	
26544.524	12.57	29877.542	12.69	32471.422	12.34	33569.446	12.13	34608.563	12.21	35304.526	11.94	35781.390	12.21	36807.450	12.21	
