JD,flux,obs
 2448182.2639999999664724,      1.0568180,Herbst99
 2448184.2740000002086163,      1.0471298,Herbst99
 2448184.3739999998360872,      1.1066228,Plates
 2448184.4350000000558794,      1.0764642,Plates
 2448185.2719999998807907,      0.9817492,Herbst99
 2448186.2999999998137355,      0.6668074,Herbst99
 2448186.3500000000931323,      0.5807643,Plates
 2448187.3489999999292195,      0.6486341,Plates
 2448187.4830000000074506,      0.6486341,Plates
 2448188.3599999998696148,      0.7516219,Plates
 2448188.4530000002123415,      0.7516219,Plates
 2448189.2999999998137355,      0.9908327,Herbst99
 2448189.4130000001750886,      0.7516219,Plates
 2448190.2979999999515712,      1.0185922,Herbst99
 2448200.2409999999217689,      0.8472283,Herbst99
 2448201.2140000001527369,      0.5597578,Herbst99
 2448201.2779999999329448,      0.6729775,Herbst99
 2448202.1949999998323619,      0.9817492,Herbst99
 2448202.2820000001229346,      0.9908327,Herbst99
 2448203.2829999998211861,      0.9036502,Herbst99
 2448204.2469999999739230,      0.9289673,Herbst99
 2448206.2190000000409782,      1.0000000,Herbst99
 2448211.2039999999105930,      1.1481547,Herbst99
 2448213.2919999998994172,      1.0568180,Herbst99
 2448215.2570000002160668,      0.8394605,Herbst99
 2448216.1869999999180436,      0.7177950,Herbst99
 2448217.1460000001825392,      0.7655972,Herbst99
 2448217.2599999997764826,      0.7244371,Herbst99
 2448218.2349999998696148,      0.9549937,Herbst99
 2448220.1609999998472631,      1.0568180,Herbst99
 2448220.4240000001154840,      1.0764642,Plates
 2448221.1990000000223517,      1.0471298,Herbst99
 2448224.1609999998472631,      1.0375291,Herbst99
 2448227.2059999997727573,      0.9204501,Herbst99
 2448228.1650000000372529,      0.9120120,Herbst99
 2448229.1630000001750886,      1.0000000,Herbst99
 2448230.1510000000707805,      0.9908327,Herbst99
 2448232.3169999998062849,      0.9549916,Plates
 2448233.3070000000298023,      1.0764642,Plates
 2448234.2570000002160668,      1.0000000,Herbst99
 2448241.2390000000596046,      1.0280176,Herbst99
 2448255.2450000001117587,      1.0665970,Herbst99
 2448256.2160000000149012,      1.0280176,Herbst99
 2448258.2179999998770654,      0.8317639,Herbst99
 2448259.2110000001266599,      0.9120120,Herbst99
 2448263.2429999997839332,      1.0000000,Herbst99
 2448269.2160000000149012,      1.0375291,Herbst99
 2448270.1959999999962747,      1.0568180,Herbst99
 2448271.1990000000223517,      1.0864263,Herbst99
 2448271.2790000000968575,      1.1066228,Plates
 2448272.2769999997690320,      0.7516219,Plates
 2448273.2669999999925494,      0.7726806,Plates
 2448274.2730000000447035,      0.7516219,Plates
 2448275.2469999999739230,      1.1066228,Plates
 2448289.2519999998621643,      1.1066228,Plates
 2448290.2500000000000000,      1.1066228,Plates
 2448445.4640000001527369,      1.0280176,Herbst99
 2448448.4550000000745058,      1.0568180,Herbst99
 2448448.4599999999627471,      0.8953651,Herbst99
 2448449.4339999998919666,      1.0375291,Herbst99
 2448449.4530000002123415,      1.0568180,Herbst99
 2448453.4330000001937151,      1.0471298,Herbst99
 2448453.4619999998249114,      1.0092534,Herbst99
 2448456.4610000001266599,      1.0000000,Herbst99
 2448457.4410000001080334,      1.0568180,Herbst99
 2448457.4569999999366701,      1.0471298,Herbst99
 2448458.4440000001341105,      1.0471298,Herbst99
 2448458.4649999998509884,      1.0864263,Herbst99
 2448459.4059999999590218,      1.0375291,Herbst99
 2448460.4070000001229346,      0.9727482,Herbst99
 2448460.4610000001266599,      0.9638295,Herbst99
 2448461.4109999998472631,      0.9375623,Herbst99
 2448461.4520000000484288,      0.9120120,Herbst99
 2448462.4660000000149012,      0.9908327,Herbst99
 2448463.4089999999850988,      0.8394605,Herbst99
 2448463.4599999999627471,      0.7943285,Herbst99
 2448464.3220000001601875,      1.1271976,Herbst99
 2448464.4059999999590218,      0.9817492,Herbst99
 2448464.4700000002048910,      0.9289673,Herbst99
 2448465.4049999997951090,      0.9817492,Herbst99
 2448465.4690000000409782,      0.9817492,Herbst99
 2448466.3919999999925494,      1.0375291,Herbst99
 2448466.4769999999552965,      1.0280176,Herbst99
 2448467.3679999997839332,      1.0665970,Herbst99
 2448467.4539999999105930,      1.0185922,Herbst99
 2448477.4610000001266599,      1.0280176,Herbst99
 2448478.4399999999441206,      1.0764654,Herbst99
 2448479.4769999999552965,      1.0471298,Herbst99
 2448480.4720000000670552,      1.0280176,Herbst99
 2448482.4380000000819564,      1.0471298,Herbst99
 2448484.4840000001713634,      0.9549937,Herbst99
 2448485.4249999998137355,      1.0280176,Herbst99
 2448486.4380000000819564,      0.9817492,Herbst99
 2448487.4490000000223517,      0.9204501,Herbst99
 2448489.4079999998211861,      1.0000000,Herbst99
 2448490.4279999998398125,      0.9817492,Herbst99
 2448491.3870000001043081,      0.9727482,Herbst99
 2448493.3429999998770654,      1.0375291,Herbst99
 2448494.3939999998547137,      0.9908327,Herbst99
 2448498.4059999999590218,      1.0000000,Herbst99
 2448499.3870000001043081,      0.9817492,Herbst99
 2448503.3420000001788139,      0.9908327,Herbst99
 2448503.3689999999478459,      1.0000000,Herbst99
 2448503.4330000001937151,      0.7447315,Plates
 2448503.4589999997988343,      0.7447315,Plates
 2448504.3999999999068677,      1.0375291,Herbst99
 2448504.4270000001415610,      1.0000000,Plates
 2448505.4300000001676381,      1.0000000,Herbst99
 2448506.4389999997802079,      1.0185922,Herbst99
 2448507.4229999999515712,      1.0568180,Herbst99
 2448508.3999999999068677,      1.0375291,Herbst99
 2448509.4290000000037253,      0.9549937,Herbst99
 2448510.4190000002272427,      1.0280176,Herbst99
 2448511.4259999999776483,      1.0665970,Herbst99
 2448512.4270000001415610,      1.0568180,Herbst99
 2448512.4470000001601875,      1.0964780,Plates
 2448512.4939999999478459,      1.0964780,Plates
 2448513.4150000000372529,      0.9462368,Plates
 2448513.4290000000037253,      1.0471298,Herbst99
 2448513.4860000000335276,      0.7112139,Plates
 2448514.4240000001154840,      1.0568180,Herbst99
 2448514.4259999999776483,      1.0665958,Plates
 2448515.4210000000894070,      1.0764654,Herbst99
 2448516.4229999999515712,      0.9817492,Herbst99
 2448517.4180000000633299,      1.0375291,Herbst99
 2448518.4270000001415610,      0.8709647,Herbst99
 2448520.4089999999850988,      0.7943285,Herbst99
 2448520.4479999998584390,      0.7726815,Herbst99
 2448520.4969999999739230,      0.7726815,Herbst99
 2448521.3169999998062849,      0.8016785,Herbst99
 2448521.3820000002160668,      0.8871559,Herbst99
 2448522.3259999998845160,      1.0375291,Herbst99
 2448523.3500000000931323,      1.0864263,Herbst99
 2448533.3700000001117587,      1.0280176,Herbst99
 2448537.3319999999366701,      1.0764654,Herbst99
 2448537.3650000002235174,      1.0964780,Plates
 2448537.4350000000558794,      0.9462368,Plates
 2448539.4399999999441206,      0.9462368,Plates
 2448540.4070000001229346,      0.7447315,Plates
 2448540.4530000002123415,      0.7112139,Plates
 2448541.4130000001750886,      0.9817492,Herbst99
 2448542.2769999997690320,      0.7046932,Herbst99
 2448542.3130000000819564,      0.7244371,Herbst99
 2448542.3539999998174608,      0.7379043,Herbst99
 2448542.3900000001303852,      0.7379043,Herbst99
 2448542.4300000001676381,      0.7726815,Herbst99
 2448542.4690000000409782,      0.7870465,Herbst99
 2448543.2000000001862645,      0.9204501,Herbst99
 2448544.3750000000000000,      0.8394605,Herbst99
 2448546.4029999999329448,      0.8953651,Herbst99
 2448548.3270000000484288,      1.3182579,Herbst99
 2448549.3059999998658895,      0.9638295,Herbst99
 2448555.3549999999813735,      0.9817492,Herbst99
 2448556.3110000002197921,      0.9204501,Herbst99
 2448557.2809999999590218,      0.8629793,Herbst99
 2448558.2870000000111759,      1.2133892,Herbst99
 2448558.3100000000558794,      0.7112139,Plates
 2448559.3020000001415610,      1.0092534,Herbst99
 2448559.3119999999180436,      0.9462368,Plates
 2448560.2809999999590218,      0.9817492,Herbst99
 2448562.3659999999217689,      1.0375291,Herbst99
 2448567.2769999997690320,      1.0092534,Herbst99
 2448570.3629999998956919,      0.4365162,Herbst99
 2448585.3470000000670552,      1.0092534,Herbst99
 2448586.2579999999143183,      1.0280176,Herbst99
 2448590.3780000000260770,      0.9462368,Plates
 2448591.2990000001154840,      0.7112139,Plates
 2448592.2850000001490116,      0.4246198,Plates
 2448592.3580000000074506,      0.7447315,Plates
 2448593.2620000001043081,      1.0000000,Plates
 2448600.2990000001154840,      1.0665958,Plates
 2448601.3259999998845160,      1.0964780,Plates
 2448619.2239999999292195,      1.0964780,Plates
 2448619.2510000001639128,      1.0665958,Plates
 2448644.2400000002235174,      1.0000000,Plates
 2448645.2489999998360872,      1.0000000,Plates
 2448646.2480000001378357,      1.0000000,Plates
 2448647.2570000002160668,      1.0000000,Plates
 2448653.2669999999925494,      0.9462368,Plates
 2448653.2910000002011657,      1.0665958,Plates
 2448816.4100000001490116,      1.0964781,Herbst99
 2448820.4309999998658895,      1.0568180,Herbst99
 2448820.4410000001080334,      1.0185912,Herbst99
 2448821.4530000002123415,      1.0000000,Herbst99
 2448822.3610000000335276,      1.0185912,Herbst99
 2448822.3760000001639128,      1.0092533,Herbst99
 2448822.3879999998025596,      1.0000000,Herbst99
 2448822.4109999998472631,      1.0000000,Herbst99
 2448822.4169999998994172,      0.9908316,Herbst99
 2448822.4210000000894070,      1.0092533,Herbst99
 2448823.4599999999627471,      1.0964781,Herbst99
 2448824.4459999999962747,      1.0864252,Herbst99
 2448828.4410000001080334,      1.0471284,Herbst99
 2448830.4709999999031425,      1.0665958,Herbst99
 2448831.4550000000745058,      0.8709637,Herbst99
 2448832.4530000002123415,      1.0092533,Herbst99
 2448833.4559999997727573,      0.2654607,Herbst99
 2448834.4640000001527369,      0.7726806,Herbst99
 2448836.4679999998770654,      0.9727471,Herbst99
 2448839.5329999998211861,      1.0000000,Plates
 2448843.4619999998249114,      0.8871559,Herbst99
 2448844.3950000000186265,      0.9817482,Herbst99
 2448845.4029999999329448,      1.0280154,Herbst99
 2448846.3960000001825392,      0.9638284,Herbst99
 2448848.3399999998509884,      0.9549927,Herbst99
 2448854.4959999998100102,      1.0092533,Herbst99
 2448855.4819999998435378,      1.0665958,Herbst99
 2448856.4810000001452863,      1.0185912,Herbst99
 2448857.4380000000819564,      1.0000000,Herbst99
 2448859.4619999998249114,      0.9036492,Herbst99
 2448862.4429999999701977,      0.9549927,Herbst99
 2448862.4580000001005828,      0.7447315,Plates
 2448862.5740000000223517,      1.0964780,Plates
 2448862.5740000000223517,      1.0964780,Plates
 2448863.4259999999776483,      1.0000000,Herbst99
 2448863.4490000000223517,      1.0665958,Plates
 2448871.4410000001080334,      0.9289663,Herbst99
 2448872.4290000000037253,      1.0092533,Herbst99
 2448873.4270000001415610,      0.9727471,Herbst99
 2448874.4320000000298023,      1.0568180,Herbst99
 2448875.4559999997727573,      0.9727471,Herbst99
 2448876.4350000000558794,      1.0665958,Herbst99
 2448877.4649999998509884,      1.0665958,Herbst99
 2448878.4249999998137355,      1.0471284,Herbst99
 2448880.4279999998398125,      1.3677293,Herbst99
 2448882.4270000001415610,      1.0280154,Herbst99
 2448883.4169999998994172,      0.7943284,Herbst99
 2448883.4259999999776483,      0.7655963,Herbst99
 2448883.4380000000819564,      0.7726806,Herbst99
 2448883.4449999998323619,      0.7726806,Herbst99
 2448883.4819999998435378,      0.7726806,Herbst99
 2448887.4100000001490116,      0.9462368,Plates
 2448888.3859999999403954,      0.9727471,Herbst99
 2448888.4660000000149012,      0.9462368,Plates
 2448890.3939999998547137,      1.0471284,Herbst99
 2448891.4640000001527369,      0.8709637,Herbst99
 2448891.5010000001639128,      0.8472273,Herbst99
 2448891.5189999998547137,      0.8394605,Herbst99
 2448892.4120000000111759,      0.9462368,Plates
 2448893.3719999999739230,      1.1271976,Herbst99
 2448893.4019999997690320,      1.0665958,Plates
 2448893.5169999999925494,      1.0964780,Plates
 2448899.3840000000782311,      1.0000000,Herbst99
 2448900.2820000001229346,      1.0864252,Herbst99
 2448901.3070000000298023,      1.0864252,Herbst99
 2448905.3059999998658895,      1.0471284,Herbst99
 2448906.2650000001303852,      1.0092533,Herbst99
 2448910.4049999997951090,      1.0964781,Herbst99
 2448911.3689999999478459,      1.1066229,Herbst99
 2448914.2870000000111759,      1.1168628,Herbst99
 2448915.2859999998472631,      0.9375623,Herbst99
 2448916.4440000001341105,      0.9462368,Plates
 2448923.2749999999068677,      1.0665958,Herbst99
 2448924.2659999998286366,      1.0568180,Herbst99
 2448926.2850000001490116,      1.0280154,Herbst99
 2448927.2680000001564622,      1.0185912,Herbst99
 2448927.4350000000558794,      1.0665958,Plates
 2448931.2900000000372529,      0.4055088,Herbst99
 2448931.3050000001676381,      0.4285485,Herbst99
 2448931.3089999998919666,      0.4325140,Herbst99
 2448931.3360000001266599,      0.4698941,Herbst99
 2448931.3399999998509884,      0.4698941,Herbst99
 2448931.3440000000409782,      0.4698941,Herbst99
 2448931.4040000000968575,      0.4965919,Herbst99
 2448931.4100000001490116,      0.4920394,Herbst99
 2448931.4139999998733401,      0.4830588,Herbst99
 2448931.4720000000670552,      0.4446310,Herbst99
 2448931.4759999997913837,      0.4365157,Herbst99
 2448932.1150000002235174,      0.8016777,Herbst99
 2448932.2099999999627471,      0.8629783,Herbst99
 2448932.2999999998137355,      0.8629783,Herbst99
 2448932.4249999998137355,      0.8472273,Herbst99
 2448933.1320000002160668,      0.8871559,Herbst99
 2448933.2190000000409782,      0.7943284,Herbst99
 2448933.2280000001192093,      0.8090959,Herbst99
 2448933.2870000000111759,      0.7379043,Herbst99
 2448933.2949999999254942,      0.7379043,Herbst99
 2448933.3799999998882413,      0.7379043,Herbst99
 2448934.0920000001788139,      0.9375623,Herbst99
 2448938.0989999999292195,      1.0375279,Herbst99
 2448938.1450000000186265,      0.9549927,Herbst99
 2448938.2200000002048910,      1.0185912,Herbst99
 2448938.2700000000186265,      1.0185912,Herbst99
 2448938.3160000001080334,      1.0280154,Herbst99
 2448938.3930000001564622,      1.0375279,Herbst99
 2448938.3960000001825392,      1.0375279,Herbst99
 2448948.1019999999552965,      0.9289663,Herbst99
 2448948.2609999999403954,      0.9036492,Herbst99
 2448951.1129999998956919,      0.9204491,Herbst99
 2448951.2669999999925494,      0.9375623,Herbst99
 2448952.0899999998509884,      0.9036492,Herbst99
 2448952.1159999999217689,      0.8472273,Herbst99
 2448954.1269999998621643,      1.0280154,Herbst99
 2448974.3780000000260770,      0.9289672,Plates
 2448982.2639999999664724,      0.9462368,Plates
 2448982.3009999999776483,      0.9462368,Plates
 2448983.2360000000335276,      1.0665958,Plates
 2449164.4419999998062849,      1.0375291,Herbst99
 2449170.4490000000223517,      1.0471298,Herbst99
 2449171.4440000001341105,      1.0471298,Herbst99
 2449172.4150000000372529,      1.1066254,Herbst99
 2449173.4300000001676381,      1.1168641,Herbst99
 2449181.4500000001862645,      0.8953651,Herbst99
 2449185.4440000001341105,      1.0185922,Herbst99
 2449188.4330000001937151,      1.0092534,Herbst99
 2449190.4270000001415610,      1.0665970,Herbst99
 2449193.4389999997802079,      0.6606938,Herbst99
 2449194.3080000001937151,      1.0375291,Herbst99
 2449194.4429999999701977,      1.0764654,Herbst99
 2449195.4330000001937151,      1.0185922,Herbst99
 2449196.4599999999627471,      0.9908327,Herbst99
 2449197.4589999997988343,      1.0375291,Herbst99
 2449198.4589999997988343,      1.0280176,Herbst99
 2449199.4750000000931323,      0.9638295,Herbst99
 2449201.4610000001266599,      1.0471298,Herbst99
 2449202.4270000001415610,      0.9727482,Herbst99
 2449203.4410000001080334,      0.9549937,Herbst99
 2449204.4399999999441206,      1.0471298,Herbst99
 2449205.4380000000819564,      1.0568180,Herbst99
 2449206.4419999998062849,      0.9908327,Herbst99
 2449207.4449999998323619,      1.0375291,Herbst99
 2449210.4070000001229346,      1.0000000,Herbst99
 2449211.4380000000819564,      0.8090968,Herbst99
 2449212.4399999999441206,      1.0375291,Herbst99
 2449219.4339999998919666,      1.0092534,Herbst99
 2449220.4040000000968575,      1.0000000,Herbst99
 2449221.4199999999254942,      0.9908327,Herbst99
 2449222.3960000001825392,      1.0280176,Herbst99
 2449224.4079999998211861,      0.9908327,Herbst99
 2449225.3969999998807907,      1.0280176,Herbst99
 2449226.3909999998286366,      1.0665970,Herbst99
 2449227.3919999999925494,      1.0280176,Herbst99
 2449228.4040000000968575,      1.0568180,Herbst99
 2449229.4089999999850988,      1.0280176,Herbst99
 2449230.3840000000782311,      1.0471298,Herbst99
 2449231.3919999999925494,      0.5701650,Herbst99
 2449232.4160000002011657,      1.0665970,Herbst99
 2449233.3889999999664724,      1.0665970,Herbst99
 2449234.3990000002086163,      1.0092534,Herbst99
 2449235.3990000002086163,      1.0185922,Herbst99
 2449236.3960000001825392,      1.0185922,Herbst99
 2449237.3879999998025596,      1.0375291,Herbst99
 2449238.3900000001303852,      0.9727482,Herbst99
 2449239.4339999998919666,      0.5495412,Herbst99
 2449240.3849999997764826,      0.8629793,Herbst99
 2449240.4509999998845160,      0.8709647,Herbst99
 2449241.3909999998286366,      0.9549937,Herbst99
 2449242.4199999999254942,      0.9817492,Herbst99
 2449243.3859999999403954,      0.9727482,Herbst99
 2449244.3689999999478459,      1.0000000,Herbst99
 2449247.3930000001564622,      0.9120120,Herbst99
 2449247.4709999999031425,      0.8953651,Herbst99
 2449248.1620000000111759,      0.7798305,Herbst99
 2449248.2200000002048910,      0.7870465,Herbst99
 2449248.2969999997876585,      0.8016785,Herbst99
 2449248.3750000000000000,      0.8016785,Herbst99
 2449248.4530000002123415,      0.8165836,Herbst99
 2449249.1650000000372529,      0.5861384,Herbst99
 2449249.2259999997913837,      0.5754403,Herbst99
 2449249.2850000001490116,      0.5701650,Herbst99
 2449249.3659999999217689,      0.5546263,Herbst99
 2449249.4939999999478459,      0.6309577,Herbst99
 2449250.1620000000111759,      0.7447324,Herbst99
 2449250.2949999999254942,      0.7585787,Herbst99
 2449250.4700000002048910,      0.7585787,Herbst99
 2449251.1549999997951090,      0.8317639,Herbst99
 2449251.2820000001229346,      0.8550671,Herbst99
 2449251.4909999999217689,      0.8550671,Herbst99
 2449252.2330000000074506,      0.8709647,Herbst99
 2449252.4939999999478459,      0.8629793,Herbst99
 2449254.1970000001601875,      0.9727482,Herbst99
 2449254.4909999999217689,      0.9908327,Herbst99
 2449255.2639999999664724,      0.9727482,Herbst99
 2449259.2059999997727573,      0.9375623,Herbst99
 2449259.3369999998249114,      0.9638295,Herbst99
 2449260.1850000000558794,      0.9120120,Herbst99
 2449260.2689999998547137,      0.9375623,Herbst99
 2449260.4040000000968575,      0.9549937,Herbst99
 2449262.3829999999143183,      1.0375291,Herbst99
 2449263.2140000001527369,      1.0280176,Herbst99
 2449264.2119999998249114,      1.0280176,Herbst99
 2449269.4160000002011657,      1.0185922,Herbst99
 2449271.1869999999180436,      1.0375291,Herbst99
 2449272.1630000001750886,      1.0375291,Herbst99
 2449275.1830000001937151,      1.0092534,Herbst99
 2449277.1589999999850988,      1.0280176,Herbst99
 2449298.3349999999627471,      0.9817492,Herbst99
 2449563.4660000000149012,      1.0864252,Herbst99
 2449567.4259999999776483,      1.0471284,Herbst99
 2449568.4229999999515712,      1.0092533,Herbst99
 2449569.4509999998845160,      0.9727471,Herbst99
 2449572.4479999998584390,      1.0092533,Herbst99
 2449573.4470000001601875,      0.9549927,Herbst99
 2449574.4530000002123415,      0.5807644,Herbst99
 2449575.4410000001080334,      0.6309569,Herbst99
 2449576.3849999997764826,      0.9638284,Herbst99
 2449579.4219999997876585,      0.9638284,Herbst99
 2449580.3330000001005828,      0.9817482,Herbst99
 2449581.3100000000558794,      0.9817482,Herbst99
 2449582.3480000002309680,      1.0471284,Herbst99
 2449583.3450000002048910,      1.0185912,Herbst99
 2449585.3709999998100102,      1.0000000,Herbst99
 2449586.2549999998882413,      1.0471284,Herbst99
 2449587.4219999997876585,      0.9908316,Herbst99
 2449588.4079999998211861,      0.9727471,Herbst99
 2449590.4730000002309680,      1.0568180,Herbst99
 2449591.2190000000409782,      1.0375279,Herbst99
 2449592.2839999999850988,      1.0092533,Herbst99
 2449593.2799999997951090,      1.0568180,Herbst99
 2449594.3209999999962747,      1.0568180,Herbst99
 2449595.4109999998472631,      0.9462368,Herbst99
 2449595.4599999999627471,      0.9462368,Herbst99
 2449595.4700000002048910,      0.9549927,Herbst99
 2449596.2330000000074506,      0.9908316,Herbst99
 2449596.3709999998100102,      1.0000000,Herbst99
 2449597.2799999997951090,      1.0000000,Herbst99
 2449598.3179999999701977,      1.0665958,Herbst99
 2449599.3110000002197921,      1.0000000,Herbst99
 2449602.2620000001043081,      1.0471284,Herbst99
 2449603.2500000000000000,      0.9908316,Herbst99
 2449604.2480000001378357,      1.0092533,Herbst99
 2449605.2629999998025596,      1.0864252,Herbst99
 2449606.2560000000521541,      1.0375279,Herbst99
 2449607.2749999999068677,      1.0185912,Herbst99
 2449608.2349999998696148,      1.0375279,Herbst99
 2449609.2469999999739230,      1.0864252,Herbst99
 2449610.3620000001974404,      1.0000000,Herbst99
 2449612.3259999998845160,      1.0471284,Herbst99
 2449617.3240000000223517,      1.0864252,Herbst99
 2449618.3980000000447035,      1.0185912,Herbst99
 2449619.2280000001192093,      1.0375279,Herbst99
 2449620.2280000001192093,      1.0471284,Herbst99
 2449621.2540000001899898,      1.0092533,Herbst99
 2449622.2089999997988343,      0.9549927,Herbst99
 2449622.2209999999031425,      0.9727471,Herbst99
 2449622.2439999999478459,      0.9727471,Herbst99
 2449622.2500000000000000,      0.9462368,Herbst99
 2449622.3139999997802079,      0.9549927,Herbst99
 2449622.3209999999962747,      0.9638284,Herbst99
 2449622.3950000000186265,      0.9120099,Herbst99
 2449622.4019999997690320,      0.9204491,Herbst99
 2449622.4830000000074506,      0.9462368,Herbst99
 2449622.4900000002235174,      0.9289663,Herbst99
 2449623.1899999999441206,      0.8790221,Herbst99
 2449623.3059999998658895,      0.9289663,Herbst99
 2449623.4969999999739230,      0.9908316,Herbst99
 2449624.2170000001788139,      0.9375623,Herbst99
 2449624.3199999998323619,      0.9375623,Herbst99
 2449625.1880000000819564,      0.9462368,Herbst99
 2449625.2930000000633299,      0.9462368,Herbst99
 2449631.3679999997839332,      1.0471284,Herbst99
 2449632.3889999999664724,      1.0471284,Herbst99
 2449633.3339999997988343,      1.0092533,Herbst99
 2449634.2560000000521541,      1.0185912,Herbst99
 2449635.3280000002123415,      1.0764654,Herbst99
 2449640.3480000002309680,      1.0375279,Herbst99
 2449641.3640000000596046,      0.9462368,Herbst99
 2449644.3799999998882413,      1.0280154,Herbst99
 2449934.4649999998509884,      1.0000000,Herbst99
 2449935.4700000002048910,      0.9817471,Herbst99
 2449937.4360000002197921,      1.0375279,Herbst99
 2449938.4429999999701977,      1.0185912,Herbst99
 2449940.4229999999515712,      1.0375279,Herbst99
 2449941.3889999999664724,      0.9817471,Herbst99
 2449942.4160000002011657,      0.9462368,Herbst99
 2449943.4019999997690320,      0.9375613,Herbst99
 2449944.4219999997876585,      0.8871559,Herbst99
 2449945.4109999998472631,      0.9727471,Herbst99
 2449946.4139999998733401,      0.9908316,Herbst99
 2449947.4320000000298023,      1.0471274,Herbst99
 2449948.4399999999441206,      1.0280164,Herbst99
 2449950.4259999999776483,      1.0000000,Herbst99
 2449951.3999999999068677,      1.0092522,Herbst99
 2449952.3650000002235174,      0.9120109,Herbst99
 2449953.3829999999143183,      0.7798296,Herbst99
 2449955.4249999998137355,      0.9908316,Herbst99
 2449956.3939999998547137,      0.9289652,Herbst99
 2449958.4180000000633299,      0.9375613,Herbst99
 2449959.4010000000707805,      0.9727471,Herbst99
 2449962.3939999998547137,      0.9908316,Herbst99
 2449963.3840000000782311,      1.0000000,Herbst99
 2449964.4150000000372529,      0.8241379,Herbst99
 2449964.4160000002011657,      0.8241379,Herbst99
 2449965.4040000000968575,      0.9462368,Herbst99
 2449981.4070000001229346,      1.0000000,Herbst99
 2449986.3739999998360872,      1.0764654,Herbst99
 2449994.2790000000968575,      0.4965925,Herbst99
 2450005.3519999999552965,      0.9817471,Herbst99
 2450011.2919999998994172,      1.0185912,Herbst99
 2450016.3500000000931323,      1.1271963,Herbst99
 2450017.3339999997988343,      1.0185912,Herbst99
 2450018.3650000002235174,      1.0471274,Herbst99
 2450019.3369999998249114,      1.0471274,Herbst99
 2450020.1850000000558794,      1.0185912,Herbst99
 2450021.1669999998994172,      1.1271963,Herbst99
 2450022.1559999999590218,      1.0665958,Herbst99
 2450022.1570000001229346,      1.0665958,Herbst99
 2450285.4300000001676381,      0.9638284,Herbst99
 2450287.4309999998658895,      0.8550661,Herbst99
 2450288.4210000000894070,      0.9638284,Herbst99
 2450290.4629999999888241,      1.0185912,Herbst99
 2450291.4649999998509884,      0.8550661,Herbst99
 2450292.4539999999105930,      0.8629783,Herbst99
 2450298.4309999998658895,      1.0471284,Herbst99
 2450302.4660000000149012,      1.0764654,Herbst99
 2450343.4580000001005828,      0.9462368,Herbst99
 2450344.4279999998398125,      1.0280154,Herbst99
 2450345.4360000002197921,      1.0185912,Herbst99
 2450352.4279999998398125,      0.9204491,Herbst99
 2450353.4459999999962747,      0.9727471,Herbst99
 2450354.3459999999031425,      0.9375623,Herbst99
 2450355.4089999999850988,      0.9908316,Herbst99
 2450356.3780000000260770,      1.0280154,Herbst99
 2450357.3689999999478459,      1.0000000,Herbst99
 2450359.4339999998919666,      1.0000000,Herbst99
 2450360.3700000001117587,      1.0471284,Herbst99
 2450367.3489999999292195,      1.0471284,Herbst99
 2450368.3810000000521541,      0.6982322,Herbst99
 2450369.3950000000186265,      0.4570880,Herbst99
 2450370.3719999999739230,      0.4830588,Herbst99
 2450376.2390000000596046,      1.0568180,Herbst99
 2450377.2969999997876585,      1.0185912,Herbst99
 2450378.3089999998919666,      1.0280154,Herbst99
 2450379.3089999998919666,      1.0375279,Herbst99
 2450384.2870000000111759,      0.9549927,Herbst99
 2450386.2620000001043081,      0.8317639,Herbst99
 2450660.4580000001005828,      0.9462367,Herbst99
 2450678.4509999998845160,      0.2884032,Herbst99
 2450680.4109999998472631,      0.9549925,Herbst99
 2450681.3999999999068677,      0.9375622,Herbst99
 2450682.3790000001899898,      1.0000000,Herbst99
 2450683.4210000000894070,      0.7447323,Herbst99
 2450684.3919999999925494,      0.8241388,Herbst99
 2450685.3629999998956919,      0.8394595,Herbst99
 2450686.4010000000707805,      0.9908326,Herbst99
 2450687.3829999999143183,      0.9817481,Herbst99
 2450688.4089999999850988,      0.9638294,Herbst99
 2450689.3700000001117587,      1.0000000,Herbst99
 2450690.3889999999664724,      1.0092533,Herbst99
 2450691.3919999999925494,      0.9817481,Herbst99
 2450693.4130000001750886,      1.0092533,Herbst99
 2450694.3790000001899898,      1.0000000,Herbst99
 2450695.4130000001750886,      0.9727480,Herbst99
 2450696.4040000000968575,      1.0092533,Herbst99
 2450697.3969999998807907,      1.0375290,Herbst99
 2450698.3969999998807907,      1.0185910,Herbst99
 2450700.3379999999888241,      1.0185910,Herbst99
 2450701.4019999997690320,      1.0185910,Herbst99
 2450702.4040000000968575,      1.0000000,Herbst99
 2450703.4089999999850988,      0.9908326,Herbst99
 2450704.4270000001415610,      0.9908326,Herbst99
 2450705.3709999998100102,      0.9908326,Herbst99
 2450706.3799999998882413,      0.9727480,Herbst99
 2450709.3289999999105930,      1.0092533,Herbst99
 2450710.4139999998733401,      0.9727480,Herbst99
 2450711.3500000000931323,      1.0000000,Herbst99
 2450712.3360000001266599,      1.0280163,Herbst99
 2450713.3349999999627471,      1.0471296,Herbst99
 2450714.3870000001043081,      1.0375290,Herbst99
 2450715.3339999997988343,      1.0280163,Herbst99
 2450716.3339999997988343,      1.0000000,Herbst99
 2450717.3580000000074506,      1.0280163,Herbst99
 2450718.3179999999701977,      1.0471296,Herbst99
 2450719.3229999998584390,      1.0185910,Herbst99
