JD,mag,obs
 2456279.9652800001204014,     11.5999994,MTH
 2456281.9638899997808039,     11.6999998,MTH
 2456293.9763899999670684,     11.8000002,MTH
 2456295.9673600001260638,     11.6999998,MTH
 2456300.9541699998080730,     11.8000002,MTH
 2456301.5111600002273917,     11.6269999,MZK
 2456301.9472199999727309,     11.5999994,MTH
 2456302.9319400000385940,     11.5999994,MTH
 2456303.9312499999068677,     11.6999998,MTH
 2456304.3590000001713634,     11.6000004,PYG
 2456305.9270799998193979,     11.5999994,MTH
 2456306.9256899999454618,     11.6999998,MTH
 2456308.3790000001899898,     11.6999998,PYG
 2456308.9284700001589954,     11.8000002,MTH
 2456330.3379999999888241,     11.8000002,PYG
 2456454.9153599999845028,     11.6339998,MJB
 2456462.9036900000646710,     11.6569996,MJB
 2456464.8837799998000264,     11.6090002,MJB
 2456465.8667500000447035,     11.6250000,MJB
 2456477.8664199998602271,     12.3800001,MJB
 2456478.8278199997730553,     11.8039999,MJB
 2456479.8657300001941621,     11.9759998,MJB
 2456480.8246599999256432,     13.4569998,MJB
 2456481.8637299998663366,     11.8020000,MJB
 2456482.8811900001019239,     11.7620001,MJB
 2456483.8368199998512864,     11.7740002,MJB
 2456483.9223099998198450,     11.7690001,MJB
 2456484.9201400000602007,     11.6169996,MJB
 2456485.8329400001093745,     11.7720003,MJB
 2456485.9183600000105798,     11.7030001,MJB
 2456486.9137599999085069,     11.7600002,MJB
 2456487.8340400001034141,     11.7060003,MJB
 2456487.9116199999116361,     11.7040005,MJB
 2456488.8775200000964105,     11.6590004,MJB
 2456488.9081399999558926,     11.6739998,MJB
 2456489.8118300000205636,     11.7220001,MJB
 2456489.8125900002196431,     11.7209997,MJB
 2456489.8145400001667440,     11.7189999,MJB
 2456490.8952999999746680,     11.7449999,MJB
 2456490.8967599999159575,     11.7489996,MJB
 2456490.8986900001764297,     11.7519999,MJB
 2456490.9001699998043478,     11.7500000,MJB
 2456490.9015700002200902,     11.7480001,MJB
 2456490.9035000000149012,     11.7449999,MJB
 2456491.8670800002291799,     11.6429996,MJB
 2456491.8685200000181794,     11.6630001,MJB
 2456491.8704400002025068,     11.6590004,MJB
 2456491.8719299999065697,     11.6529999,MJB
 2456491.8733199997805059,     11.6510000,MJB
 2456491.8752500000409782,     11.6870003,MJB
 2456501.7664600000716746,     11.6759996,MJB
 2456506.7832399997860193,     11.6660004,MJB
 2456508.7711499999277294,     11.7089996,MJB
 2456511.8347100000828505,     11.6660004,MJB
 2456514.8029600000008941,     11.6639996,MJB
 2456525.7839500000700355,     11.6250000,MJB
 2456527.7257199999876320,     11.5660000,MJB
 2456528.8038800000213087,     11.6479998,MJB
 2456529.6986600002273917,     11.6520004,MJB
 2456529.8523699999786913,     11.6219997,MZK
 2456530.6933100000023842,     11.6389999,MJB
 2456531.7083399998955429,     11.6149998,MJB
 2456532.7004599999636412,     11.6689997,MJB
 2456533.7883700001984835,     11.7189999,MJB
 2456534.7382200001738966,     11.5970001,MJB
 2456540.8432700000703335,     11.6580000,MJB
 2456542.7963899997994304,     11.6389999,MJB
 2456543.7483799997717142,     11.6379995,MJB
 2456544.7428100001998246,     11.6490002,MJB
 2456544.9131700000725687,     11.6289997,MJB
 2456545.7451499998569489,     11.7550001,MJB
 2456546.7497000000439584,     11.8179998,MJB
 2456547.9281799998134375,     12.1890001,MJB
 2456549.6558599998243153,     11.6040001,MJB
 2456551.6756699997931719,     12.7279997,MJB
 2456551.7647400000132620,     12.6339998,MJB
 2456552.8236699998378754,     11.7189999,MZK
 2456557.8924400000832975,     11.5950003,MJB
 2456558.7260099998675287,     11.6999998,MJB
 2456559.7418100000359118,     11.7250004,MJB
 2456560.7263400000520051,     11.6289997,MJB
 2456560.8325800001621246,     11.6070004,MJB
 2456561.6201200000941753,     11.7700005,NLZ
 2456561.7574800001457334,     11.6960001,MJB
 2456562.6689200000837445,     11.6689997,NLZ
 2456562.7161799999885261,     11.7670002,MJB
 2456563.7261199997738004,     11.6180000,MJB
 2456565.5976499998942018,     11.6850004,NLZ
 2456567.6591099998913705,     11.7550001,NLZ
 2456571.5564899998717010,     11.7740002,NLZ
 2456574.7340000001713634,     11.6910000,MJB
 2456575.7432200000621378,     11.6650000,MJB
 2456576.7421300001442432,     11.5780001,MJB
 2456577.6944800000637770,     11.6239996,MJB
 2456581.5369400000199676,     11.7320004,NLZ
 2456583.6902700001373887,     11.6980000,MJB
 2456585.6904899999499321,     11.6339998,MJB
 2456586.5189899997785687,     11.7510004,NLZ
 2456586.8643499999307096,     11.6840000,ROE
 2456587.8170400001108646,     11.1669998,ROE
 2456588.8246800000779331,     11.6219997,MJB
 2456589.4849999998696148,     11.6999998,PYG
 2456589.5972899999469519,     11.6840000,NLZ
 2456590.7928100000135601,     11.2170000,ROE
 2456591.7306699999608099,     11.6859999,MJB
 2456592.8578499997965991,     11.3409996,ROE
 2456593.8516699997708201,     11.2959995,ROE
 2456597.7526400000788271,     11.7250004,MJB
 2456598.7755900002084672,     11.8360004,MJB
 2456601.0152799999341369,     11.6999998,MTH
 2456601.4150000000372529,     11.6000004,PYG
 2456601.4350000000558794,     11.6999998,PYG
 2456601.4793400000780821,     11.7080002,NLZ
 2456603.8519399999640882,     11.6029997,MJB
 2456604.5902399998158216,     11.6300001,MJB
 2456605.7401600000448525,     11.6400003,MJB
 2456605.9958299999125302,     10.8999996,MTH
 2456606.9888900001533329,     10.8999996,MTH
 2456607.8047600002028048,     11.5979996,MJB
 2456608.5320100001990795,     11.6650000,NLZ
 2456608.5929299998097122,     11.6750002,MJB
 2456609.7333700000308454,     12.8690004,MJB
 2456610.5914900000207126,     11.8059998,MJB
 2456614.8299400000832975,     11.8950005,MJB
 2456615.7985299997963011,     11.9429998,ROE
 2456617.4891400001943111,     11.8059998,NLZ
 2456624.6929199998266995,     13.0439997,MJB
 2456626.6863199998624623,     11.6920004,MJB
 2456631.4350000000558794,     11.6999998,PYG
 2456632.0000000000000000,     11.5999994,MTH
 2456633.9576400001533329,     11.8000002,MTH
 2456636.0111099998466671,     11.5999994,MTH
 2456636.9729200000874698,     11.5999994,MTH
 2456637.6342400000430644,     11.6840000,MJB
 2456638.6092599998228252,     11.7779999,MJB
 2456642.6575099998153746,     11.8959999,MJB
 2456643.6314500002190471,     11.6960001,MJB
 2456644.6522300001233816,     11.7130003,MJB
 2456644.6781600001268089,     11.6120005,ROE
 2456645.7047100001946092,     11.6789999,ROE
 2456645.7095800000242889,     11.6350002,MJB
 2456649.9743099999614060,     11.8000002,MTH
 2456650.7224699999205768,     11.7019997,MJB
 2456650.9541699998080730,     11.8000002,MTH
 2456651.6580799999646842,     11.7600002,MJB
 2456652.6366400001570582,     13.2309999,MJB
 2456652.9444400002248585,     11.8000002,MTH
 2456653.6420900002121925,     11.8889999,MJB
 2456654.6441899999044836,     11.7760000,MJB
 2456655.3580000000074506,     11.8000002,PYG
 2456655.9465299998410046,     11.8000002,MTH
 2456656.9479200001806021,     11.8000002,MTH
 2456657.6538100000470877,     11.6719999,MJB
 2456658.6242100000381470,     11.7779999,MJB
 2456658.9312499999068677,     11.6999998,MTH
 2456659.9347199997864664,     11.6999998,MTH
 2456660.6267099999822676,     11.8430004,MJB
 2456661.6465400001034141,     11.6540003,MJB
 2456662.3500000000931323,     11.6999998,PYG
 2456664.6389500000514090,     11.7860003,MJB
 2456664.9312499999068677,     11.6999998,MTH
 2456665.6157999997958541,     11.7010002,MJB
 2456671.6167700001969934,     11.6669998,MJB
 2456672.6631399998441339,     11.7329998,MJB
 2456674.6219999999739230,     11.6719999,MJB
 2456677.3489999999292195,     11.6000004,PYG
 2456678.6470300001092255,     11.6980000,MJB
 2456679.6131400000303984,     11.6560001,MJB
 2456680.5873400000855327,     11.6680002,MJB
 2456684.5835299999453127,     11.7110004,MJB
 2456686.5784700000658631,     11.7250004,MJB
 2456698.3360000001266599,     11.6000004,PYG
 2456704.5606800001114607,     11.6789999,MJB
 2456706.5572100002318621,     11.6280003,MJB
 2456710.5637799999676645,     11.6580000,MJB
 2456711.5576999997720122,     11.6789999,MJB
 2456712.5835099997930229,     11.6569996,MJB
 2456716.5495299999602139,     11.6549997,MJB
 2456860.8960899999365211,     11.6339998,ROE
 2456863.8665700000710785,     11.7360001,ROE
 2456866.8813499999232590,     11.6180000,ROE
 2456883.8244199999608099,     11.5290003,ROE
 2456888.8711500000208616,     11.6470003,MJB
 2456890.8653600001707673,     11.6440001,MJB
 2456891.8796799997799098,     11.9709997,MJB
 2456891.8993500000797212,     11.9840002,MJB
 2456892.7948799999430776,     12.5179996,ROE
 2456892.8656100002117455,     12.4029999,MJB
 2456893.7604499999433756,     12.1120005,ROE
 2456893.9107099999673665,     12.3590002,MJB
 2456894.7596300002187490,     12.1980000,ROE
 2456894.8325000000186265,     12.1520004,MJB
 2456894.9271999998018146,     12.1239996,MJB
 2456895.7839199998416007,     11.9209995,ROE
 2456895.9100899999029934,     11.8020000,MJB
 2456897.8801299999468029,     11.8330002,MJB
 2456898.8401600001379848,     11.7740002,MZK
 2456898.8965300000272691,     11.7930002,MJB
 2456900.9362800000235438,     11.7159996,MJB
 2456901.8120400002226233,     11.7419996,ROE
 2456903.7392899999395013,     11.7110004,ROE
 2456903.7777200001291931,     11.6350002,MJB
 2456903.8249099999666214,     11.6549997,MJB
 2456904.6893199998885393,     11.7550001,ROE
 2456904.7939800000749528,     11.6960001,MJB
 2456905.7290900000371039,     11.5850000,ROE
 2456905.8319600000977516,     11.6549997,MJB
 2456907.7445800001733005,     11.7180004,ROE
 2456907.9471999998204410,     11.7390003,MJB
 2456908.7209800002165139,     11.8380003,ROE
 2456910.7582299998030066,     11.6289997,MJB
 2456919.7486499999649823,     11.5710001,ROE
 2456920.7637700000777841,     11.5570002,ROE
 2456921.7094299998134375,     11.5609999,ROE
 2456921.7791100000031292,     11.5839996,MJB
 2456922.7081100000068545,     11.6029997,ROE
 2456922.7734400001354516,     11.5939999,MJB
 2456923.7136099999770522,     11.6359997,ROE
 2456924.8332600002177060,     11.5620003,MZK
 2456930.8163499999791384,     11.5839996,ROE
 2456931.6884499997831881,     11.7180004,ROE
 2456933.7042200001887977,     12.2100000,NLZ
 2456941.5733300000429153,     11.5670004,NLZ
 2456942.4530000002123415,     11.8999996,PYG
 2456945.6412200001068413,     11.6739998,NLZ
 2456945.8144600000232458,     11.7049999,MJB
 2456955.5956899998709559,     11.5979996,NLZ
 2456958.5669999998062849,     11.8000002,PYG
 2456959.7456899997778237,     11.5349998,NLZ
 2456969.5375700001604855,     11.6709995,NLZ
 2456973.0118100000545382,     11.8000002,MTH
 2456973.9909700001589954,     12.0000000,MTH
 2456976.4100000001490116,     12.5000000,PYG
 2456976.9874999998137355,     11.8000002,MTH
 2456977.9729200000874698,     11.8000002,MTH
 2456978.9750000000931323,     11.6999998,MTH
 2456980.5434500002302229,     11.6040001,NLZ
 2456980.9319400000385940,     11.5999994,MTH
 2456983.9541699998080730,     10.8000002,MTH
 2456986.9548599999397993,     10.8000002,MTH
 2456988.9534700000658631,     11.6999998,MTH
 2456989.9444400002248585,     11.8000002,MTH
 2456990.8018600000068545,     11.8330002,NLZ
 2456991.9361100001260638,     11.5999994,MTH
 2456992.8958299998193979,     11.8000002,MTH
 2456993.9847200000658631,     11.6999998,MTH
 2456999.5027700001373887,     11.8570004,NLZ
 2457005.9784699999727309,     11.5999994,MTH
 2457006.9951399997808039,     11.6999998,MTH
 2457007.3719999999739230,     11.8999996,PYG
 2457009.9451399999670684,     11.6999998,MTH
 2457010.9354199999943376,     11.8000002,MTH
 2457011.3799999998882413,     11.8000002,PYG
 2457011.9756900002248585,     11.6999998,MTH
 2457012.4647300001233816,     11.6210003,NLZ
 2457013.9381900001317263,     11.6999998,MTH
 2457014.9312499999068677,     11.5999994,MTH
 2457015.9368099998682737,     11.6999998,MTH
 2457016.9402800002135336,     11.6999998,MTH
 2457017.9270799998193979,     11.6999998,MTH
 2457020.9340300001204014,     11.5999994,MTH
 2457029.2850000001490116,     12.0000000,PYG
 2457031.9277800000272691,     11.6999998,MTH
 2457039.3199999998323619,     11.8000002,PYG
 2457045.4123300001956522,     11.7430000,NLZ
 2457055.3169999998062849,     11.6999998,PYG
 2457057.3040000000037253,     11.6999998,PYG
 2457058.3986700000241399,     11.5920000,NLZ
 2457060.3470000000670552,     11.6000004,PYG
 2457070.3450000002048910,     11.6999998,PYG
 2457075.3289999999105930,     11.6000004,PYG
